SA3_CODE,YEAR,MEDIAN_WEEKLY_HH_INCOME,POP
115011558,2021,1496,
115011621,2021,1496,
115011622,2021,1598,
115021297,2021,1366,
115021298,2021,1315,
115031299,2021,1059,
115031300,2021,1247,
115041301,2021,1245,
115041623,2021,1579,
115041624,2021,1619,
115041625,2021,1558,
116011303,2021,1027,
116011304,2021,978,
116011306,2021,1025,
116011307,2021,1097,
116011560,2021,979,
116011561,2021,1008,
116011626,2021,1085,
116011627,2021,1105,
116021309,2021,1452,
116021562,2021,1431,
116021563,2021,1284,
116021628,2021,1564,
116021629,2021,1383,
116021630,2021,1237,
116021631,2021,1583,
116021632,2021,1462,
116021633,2021,1450,
116031313,2021,680,
116031314,2021,1061,
116031315,2021,1065,
116031316,2021,794,
116031317,2021,780,
116031319,2021,1043,
117011320,2021,1678,
117011321,2021,1477,
117011323,2021,1147,
117011325,2021,1125,
117011634,2021,876,
117011635,2021,1390,
117021327,2021,1628,
117021328,2021,1645,
117021636,2021,1552,
117021637,2021,1357,
117031329,2021,1917,
117031330,2021,2050,
117031331,2021,1583,
117031333,2021,1778,
117031336,2021,1857,
117031638,2021,1807,
117031639,2021,1201,
117031640,2021,1726,
117031641,2021,1775,
117031642,2021,1551,
117031643,2021,1669,
117031644,2021,2013,
117031645,2021,1271,
117031646,2021,1212,
117031647,2021,1500,
117031648,2021,1619,
118011339,2021,1937,
118011340,2021,1981,
118011341,2021,1801,
118011344,2021,1793,
118011345,2021,2043,
118011346,2021,2055,
118011347,2021,2071,
118011649,2021,2092,
118011650,2021,2118,
118021564,2021,1454,
118021565,2021,1197,
118021566,2021,1527,
118021567,2021,1227,
118021568,2021,1348,
118021569,2021,1756,
118021570,2021,1713,
118021651,2021,2018,
118021652,2021,1327,
118021653,2021,1192,
118021654,2021,1247,
119011354,2021,748,
119011355,2021,1230,
119011356,2021,814,
119011358,2021,1064,
119011360,2021,1042,
119011361,2021,775,
119011571,2021,754,
119011572,2021,764,
119011655,2021,735,
119011656,2021,718,
119011657,2021,1092,
119011658,2021,1175,
119021362,2021,906,
119021366,2021,727,
119021367,2021,940,
119021573,2021,684,
119021574,2021,701,
119021659,2021,875,
119021660,2021,812,
119021661,2021,1110,
119021662,2021,1205,
119021663,2021,998,
119031370,2021,940,
119031371,2021,1394,
119031372,2021,1153,
119031373,2021,736,
119031374,2021,1147,
119031664,2021,1014,
119031665,2021,964,
119031666,2021,1297,
119031667,2021,1068,
119041377,2021,1118,
119041378,2021,1204,
119041379,2021,1135,
119041380,2021,1106,
119041381,2021,1109,
119041382,2021,1148,
119041668,2021,1187,
119041669,2021,1057,
119041670,2021,1057,
119041671,2021,1444,
120011383,2021,1490,
120011385,2021,1787,
120011386,2021,1510,
120011672,2021,1401,
120011673,2021,1463,
120021387,2021,2055,
